S.No.,Institute Code,Institute Name,Place,District,Region,Minority,Inst.Type,University Name,Address,Type of College,Year of EST
1,10033,A.A.R .AND B.M.R. DEGREE COLLEGE NUNNA,VIJAYAWADA RURAL,NTR,AU,NO,COED,KRISHNA UNIVERSITY,"D.NO:4-166/A, NUNNA(P.O), VIJAYAWADA (RURAL)KRISHNA (Dt) - 521212,NUNNA,VIJAYAWADA RURAL,Krishna,521212",Private Un-Aided,2005
2,10035,Aditya Womens Degree College,VIJAYAWADA URBAN,KRISHNA,AU,NO,Women,KRISHNA UNIVERSITY,"1-2,PORANKI,PENAMALURU,Krishna,521137",Private Un-Aided,1996
3,10056,ABHYUDAYA DEGREE COLLEGE SRIKAKULAM,SRIKAKULAM,SRIKAKULAM,AU,NO,COED,DR BR AMBEDKAR UNIVERSITY,"RELLA STREET,WARD NO.5,DOOR NO.2-2/14-22,BEHIND FOREST OFFICE,SRIKAKULAM-532001(NEW CAMPUS OF THE COLLEGE),BALAGA (RURAL),SRIKAKULAM,Srikakulam,532001",Private Un-Aided,2002
4,10058,ABHYUDAYA MAHILA DEGREE COLLEGE GUNTUR,Guntur(C) (Urban),GUNTUR,AU,NO,Women,ACHARYA NAGARJUNA UNIVERSITY,"3rd LINE D.NO. 5-89-5/2 LAKSHMIPURA GUNTUR 52207,Guntur(C) (Urban),Guntur(C) (Urban),Guntur,522007",Private Un-Aided,1999
5,10061,ABM DEGREE COLLEGE BALIGHATTAM NARSIPATNAM,NARSIPATNAM,ANAKAPALLI,AU,NO,COED,ANDHRA UNIVERSITY,"MAIN ROAD, NARSIPATNAM,Narsipatnam,NARSIPATNAM,Visakhapatnam,531116",Private Un-Aided,2007
6,10071,AC (DAY SESSION) DEGREE COLLEGE GUNTUR,GUNTUR,GUNTUR,AU,MINORITY,COED,ACHARYA NAGARJUNA UNIVERSITY,"MAIN ROAD,GUNTUR (U),GUNTUR,Guntur,522001",Private Aided,1885
7,10073,AC (EVENING SESSION) DEGREE COLLEGE GUNTUR,GUNTUR,GUNTUR,AU,MINORITY,COED,ACHARYA NAGARJUNA UNIVERSITY,MAIN ROAD,Private Aided,1967
8,10092,ACTS DEGREE COLLEGE VISAKHAPATNAM,VISAKHAPATNAM,VISAKHAPATNAM,AU,NO,COED,ANDHRA UNIVERSITY,"D. No. 1-61/10SANDIPANI NAGAR, YENDADA,Yendada,VISAKHAPATNAM,Visakhapatnam,530045",Private Un-Aided,2001
9,10134,ADITYA DEGREE COLLEGE  PALAKOL,PALACOLE,WEST GODAVARI,AU,NO,COED,ADIKAVI NANNAYA UNIVERSITY,"D.NO.21-8-1, RAMACHANDRA COLONY,PALACOLE (M/N),PALACOLE,West Godavari,534260",Private Un-Aided,2005
10,10135,ADITYA  DEGREE  COLLEGE  FOR  WOMEN     KAKINADA,KAKINADA (URBAN),KAKINADA,AU,NO,Women,ADIKAVI NANNAYA UNIVERSITY,"ROAD NO.5, SAMBHAMURTHY NAGAR, KAKINADA - 01,Bhanugudi Jn,KAKINADA (URBAN),East Godavari,533001",Private Un-Aided,2000
11,10140,ADITYA DEGREE COLLEGE RAJAHMUNDRY,RAJAHMUNDRY(URBAN),EAST GODAVARI,AU,NO,COED,ADIKAVI NANNAYA UNIVERSITY,"D.No.78-3-1/1,Rajahmundry,RAJAHMUNDRY(URBAN),East Godavari,533103",Private Un-Aided,2003
12,10141,ADITYA DEGREE COLLEGE SRINAGAR ASILMETTA VISAKHAPATNAM,VISAKHAPATNAM(U),VISAKHAPATNAM,AU,NO,COED,ANDHRA UNIVERSITY,"30-6-2, opp BSNL OFFICE , PREMA SAMAJAM ROAD, DABAGARDENS,VISAKHAPATNAM-530020,Visakhapatnam,VISAKHAPATNAM(U),Visakhapatnam,530020",Private Un-Aided,2005
13,10142,ADITYA DEGREE COLLEGE KAKINADA,KAKINADA (URBAN),KAKINADA,AU,NO,COED,ADIKAVI NANNAYA UNIVERSITY,"3-16E-9,Kakinada (Urban),East Godavari,533003",Private Un-Aided,1998
14,10143,AADITYA DEGREE COLLEGE NELLORE,NELLORE,SRI POTTI SRIRAMULU NELLORE,SVU,NO,COED,VIKRAMA SIMHAPURI UNIVERSITY,"DNO:27-1-1483,AADITYADEGREECOLLEGE,AADITYA NAGAR,S.P.S.R NELLORE.,NELLORE-II (U),NELLORE,Nellore,524002",Private Un-Aided,1999
15,10144,VEDA DEGREE COLLEGE TATIPAKA,RAZOLE,KONASEEMA,AU,NO,COED,ADIKAVI NANNAYA UNIVERSITY,"CINE ROAD,TATIPAKA,RAZOLE MANDAL,E.G.Dt 533249",Private Un-Aided,2002
